"","race","ST","POVPIP2","NATIVITY2","ESR2","SCHL2","house_ten","AGEP","VALP","RNTP","FINCP"
"139",3,"38",0.0362299101062381,0.259102878416417,0.029737582856624,0.572913829111051,0.299827476618542,33,NA,1200,102120
"140",4,"38",0.0275159133027153,0.184836032551769,0.0344855370236081,0.590826686004351,0.474720006445895,35,NA,NA,134000
"141",1,"39",0.0167667224955883,0.022273736208132,0.0281088460777163,0.589324782655834,0.7696865864657,50,250000,NA,120000
"142",2,"39",0.03057861328125,0.0903589280985169,0.0683531680349576,0.537898694054555,0.426826089115466,44,NA,1400,102500
"143",3,"39",0.0370474532245883,0.26606606227031,0.0558208172306681,0.51504618291785,0.552283234163035,38,440000,NA,1e+05
"144",4,"39",0.026526445740071,0.35917215494779,0.0437708526598283,0.640492606119086,0.642184764543428,40,350000,NA,115000
"145",1,"40",0.0183308327100867,0.0114663800665622,0.0298068860392928,0.598190488942697,0.743483912091426,50,250000,NA,109300
"146",2,"40",0.0266557576957752,0.0465472585999343,0.0647138219093131,0.555508074896686,0.440192609345931,42,NA,NA,93400
"147",3,"40",0.0228024879294451,0.401537119384587,0.0529903541520236,0.357842946804791,0.577550004061781,36,3e+05,NA,72000
"148",4,"40",0.0254826427589349,0.123137971151265,0.0486893594864828,0.563917114801045,0.666931750693557,41,250000,NA,90000
"149",1,"41",0.0209441173582166,0.0366708203129402,0.0384944803192834,0.712337053905635,0.711306692039328,50,550000,NA,134000
"150",2,"41",0.0221545569088618,0.256807363852723,0.0696486070278595,0.665039199216016,0.452785944281114,38,NA,4100,104370
"151",3,"41",0.022652254016517,0.410343094940541,0.0486594431632245,0.484491799476919,0.537122022237396,38,8e+05,NA,95300
"152",4,"41",0.0235521871215823,0.346006564551422,0.0350348409848952,0.69894149263878,0.638187525227847,43,650000,NA,132600
"153",1,"42",0.0146097545362079,0.0282233175981709,0.0324084282303514,0.600137066884583,0.797533665423502,52,3e+05,NA,133000
"154",2,"42",0.0335479922818602,0.10352630134719,0.0783802795430095,0.529039936582328,0.525512981893732,44,NA,NA,105400
"155",3,"42",0.0263709094909508,0.30744444782199,0.0717897275334124,0.431295660191912,0.536819828700547,39,650000,NA,87600
"156",4,"42",0.0259568807059947,0.481911280623592,0.0458684717908246,0.654360892329431,0.682004999296385,40,4e+05,NA,130000
"157",1,"44",0.0131293632756074,0.0628327991156877,0.0410005249788867,0.661559806833856,0.751877370149244,52,450000,NA,165500
"158",2,"44",0.0207931464881425,0.395495291047316,0.0534721434244866,0.529927380006808,0.39124021332123,42,NA,1700,106200
"159",3,"44",0.038424453953607,0.537081749579658,0.0792793223526412,0.411385495605333,0.464480090522977,39,NA,1800,75300
"160",4,"44",0.0140231165575825,0.400654504943601,0.0628046233115165,0.568263473053892,0.600111405096783,39,650000,NA,131800
"161",1,"45",0.0193458016733297,0.0231345891147952,0.0251547101060814,0.655241168816243,0.817808843640784,52,290000,NA,111500
"162",2,"45",0.0302536258612804,0.0176598045270309,0.0536528405126897,0.504978511463012,0.607695615242423,45,3e+05,NA,81200
"163",3,"45",0.0385988910330003,0.536070739392755,0.0346271281662962,0.395305210190772,0.619091819536383,38,380000,NA,80800
"164",4,"45",0.040145622093602,0.282953398085866,0.0377091065951829,0.622894713140593,0.700038396450462,40,350000,NA,1e+05
"165",1,"46",0.011098719506773,0.00562809378427246,0.00679891513768266,0.671958828585826,0.76563750481667,50,3e+05,NA,124200
"166",2,"46",0.0520665593129361,0.331615673644659,0.0485238862050456,0.343961352657005,0.351690821256039,35,NA,970,58200
"167",3,"46",0.000363801728058208,0.290268303774443,0.0843110504774898,0.487175989085948,0.448885857207822,34,NA,NA,174200
"168",4,"46",0.0413730514627376,0.150090753790305,0.0715353405936366,0.544322549647662,0.508835148409139,37,NA,NA,80900
"169",1,"47",0.0187653645648695,0.0165825650052141,0.0261888006814594,0.599492740696482,0.772741574547613,50,3e+05,NA,108000
"170",2,"47",0.0369616091861933,0.0389826544180643,0.064195322908496,0.526584368946718,0.496662820133435,44,NA,NA,99200
"171",3,"47",0.0341667985440734,0.568559107453711,0.0299018832093686,0.387786833359709,0.509036239911378,38,NA,NA,79400
"172",4,"47",0.0321039355019537,0.283075857748174,0.0280843486719536,0.644594661434719,0.644047285377475,41,425000,NA,103000
"173",1,"48",0.01617779323,0.0426945554073223,0.0295954526552915,0.716603978653977,0.753267005348066,50,370000,NA,139000
"174",2,"48",0.0233446873162125,0.111828154610207,0.0757000261386656,0.623101270992616,0.488466722211331,42,NA,NA,108000
"175",3,"48",0.0259520908591266,0.378218804433582,0.0436297174112573,0.424679161422092,0.64440006339518,40,285000,NA,78000
"176",4,"48",0.0220777237471366,0.542862195072941,0.0385955605567389,0.727986711141475,0.693035941539739,42,442000,NA,135900
"177",1,"49",0.0125999777872732,0.0237293198692841,0.0210851300018985,0.721410825476356,0.763896221702709,43,5e+05,NA,125000
"178",2,"49",0.027140307922148,0.394613437357347,0.0481802714030792,0.623770593849857,0.364941693986803,32,NA,1600,92400
"179",3,"49",0.0223335746796845,0.454470064015259,0.0328209773570342,0.436570032438225,0.629148472660349,37,5e+05,NA,92900
"180",4,"49",0.0268592685112276,0.34221944663173,0.0308506883162725,0.67435987944283,0.653930326644764,37,550000,NA,115000
"181",1,"50",0.0156439197370697,0.0312143227815257,0.0262497837744335,0.675637865421207,0.785402612004843,51,350000,NA,132800
"182",2,"50",0.0391560154189491,0.389531345100426,0.043010752688172,0.612294583079732,0.416717386893893,30,NA,1600,102800
"183",3,"50",0.0122661122661123,0.330977130977131,0.0265072765072765,0.864345114345114,0.644490644490645,39,560000,NA,171000
"184",4,"50",0.0420894400601278,0.298158586997369,0.0193160465990229,0.688613303269448,0.542577978203683,40,NA,NA,121000
"185",1,"51",0.0159186182941789,0.0406651530083218,0.0227493557726428,0.699944498095736,0.778962307139532,50,450000,NA,150700
"186",2,"51",0.0225466490657117,0.0881372177421112,0.0544766983396723,0.578189628506576,0.557504149730104,46,8e+05,NA,122000
"187",3,"51",0.0262044046799725,0.539224019270475,0.0312697866483138,0.509544046799725,0.581013420509291,39,799000,NA,109100
"188",4,"51",0.0163947878683599,0.526991774149786,0.0346332779649127,0.753344936436612,0.723252751325202,41,625000,NA,155000
"189",1,"53",0.0167220089432457,0.0601646003758396,0.0340351899974572,0.72315680449519,0.721450517554686,50,650000,NA,150000
"190",2,"53",0.0328962470544695,0.293199162368417,0.0642699534805279,0.676195428630322,0.441546151720002,41,NA,3300,132000
"191",3,"53",0.0255749933398455,0.415516880669598,0.0506322255150896,0.459473900472457,0.533516757249785,37,1200000,NA,88000
"192",4,"53",0.023629028770048,0.473618609113464,0.0390737121894254,0.722548136847444,0.670293559079453,40,850000,NA,163500
"193",1,"54",0.0254134562916506,0.00738113156292519,0.0318675044636617,0.497264156381753,0.802713653632485,51,180000,NA,92680
"194",2,"54",0.0343966951632337,0.0591542830913994,0.0155487979803775,0.556371564633657,0.509925985426588,45,NA,NA,120000
"195",3,"54",0.0276986797825524,0.24737250841315,0.034739839502977,0.512606782293554,0.682215894382604,39,3e+05,NA,115000
"196",4,"54",0.0476658067737372,0.160089872680369,0.0588000332861779,0.515636182075393,0.701306482483149,45,2e+05,NA,97900
"197",1,"55",0.0141463986321034,0.0161973253431353,0.0181837133466047,0.651313835262654,0.773427820881593,51,3e+05,NA,126900
"198",2,"55",0.0429924416091382,0.0832470951938066,0.0502102464009222,0.502006401271521,0.335036263683482,40,NA,1000,95000
"199",3,"55",0.0337641581036899,0.396306486454928,0.0313886618402616,0.428388457496497,0.51491344581971,38,NA,NA,86000
"200",4,"55",0.0238601548549256,0.327708807418268,0.038759882563023,0.636847094073835,0.628099672326694,38,4e+05,NA,123000
"201",1,"56",0.0128549062984088,0.0166767095622123,0.0207213825627819,0.674489119279333,0.780789729282057,49,340000,NA,120000
"202",2,"56",0.0660554771979314,0.172073342736248,0.0178655383168782,0.862012223789375,0.533145275035261,50,NA,NA,81020
"203",3,"56",0.0218070079793825,0.167765277295931,0.029389899390395,0.530083758735194,0.576126282400753,39,450000,NA,82000
"204",4,"56",0.0241003510825044,0.144199824458748,0.0332796957284962,0.62627998829725,0.729337331772967,45,4e+05,NA,98600
